location: ,Karachi Airport,Year: ,2018,Month: ,1,,,,,,,,,
Weather station: ,417800,ICAO,OPKC,Latitude: ,24.9,Longitude: ,67.13,Altitude: ,21,,,,,
Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure at sea level,Average relative humidity,Total rainfall and / or snowmelt,Average visibility,Average wind speed,Maximum sustained wind speed,Maximum speed of wind,"Indicate if there was rain or drizzle (In the monthly average, total days it rained)","Snow indicator (In the monthly average, total days that snowed)","Indicates whether there storm (In the monthly average, Total days with thunderstorm)","Indicates whether there was fog (In the monthly average, Total days with fog)"
01/01/2018,17.8,28,10,-,38,0,4.8,5.7,16.5,-,,,,
02/01/2018,17.3,27,10,-,35,0,4.5,6.3,14.8,-,,,,
03/01/2018,18.2,26.5,9,-,51,0,4.5,6.9,25.9,-,,,,
04/01/2018,20.1,27,14,-,62,-,5,8.7,25.9,-,,,,
05/01/2018,19.4,27.5,13,-,49,0,3.5,10,20.6,-,,,,
06/01/2018,18.7,25,13,-,41,0,3.4,5.7,24.1,-,,,,
07/01/2018,18.4,26,11,-,56,0,2.7,5.2,13,-,,,,
08/01/2018,18.8,26,13,-,67,0,3.4,5,14.8,-,,,,
09/01/2018,19.1,26,12,-,39,0,4.5,15.9,27.8,-,,,,
10/01/2018,21.3,27,15,-,29,0,4.3,18,33.5,-,,,,
11/01/2018,21.6,27,18,-,28,0,5.1,13.1,25.9,-,,,,
12/01/2018,21.8,29.5,15,-,31,0,3.5,5.6,14.8,-,,,,
13/01/2018,20.9,29,14,-,39,0,3.7,3.3,11.1,-,,,,
14/01/2018,21.2,30,13,-,29,0,5,6.3,16.5,-,,,,
15/01/2018,21.7,31,13,-,39,0,4,6.9,16.5,-,,,,
16/01/2018,21.6,29,10,-,53,0,5,14.1,29.4,-,,,,
17/01/2018,21.1,28.5,13,-,59,0,5.1,5.7,16.5,-,,,,
18/01/2018,19.4,27.5,12,-,29,0,4.8,18,36.7,-,,,,
19/01/2018,19.6,27.5,13,-,26,0,5.3,8.7,14.8,-,,,,
20/01/2018,18.9,28,11,-,33,0,4.8,6.7,18.3,-,,,,
21/01/2018,20.2,27,12,-,53,0,5.3,8.5,22.2,-,,,,
22/01/2018,20.9,27,14,-,40,0,5,13.5,22.2,-,,,,
23/01/2018,19.1,26,12,1011.6,31,0,5.1,5.6,18.3,-,,,,
24/01/2018,18.9,27,9,-,54,0,4.8,9.3,21.9,-,,,,
25/01/2018,19.6,28,13,-,55,0,4.5,7.4,22.2,-,,,,
26/01/2018,20.2,28,13,-,59,0,4.8,5,16.5,-,,,,
27/01/2018,19.9,27,13,-,62,0,4.7,6.1,20.6,-,,,,
28/01/2018,19.6,27,13,-,59,0,5.3,7.4,18.3,-,,,,
29/01/2018,20.1,28.5,13,-,65,0,4.3,4.6,14.8,-,,,,
30/01/2018,21.9,30,15,-,51,0,4,7.2,28.7,-,,,,
31/01/2018,21.6,28,15,-,62,0,4.8,9.3,22.2,-,,,,
