"location: ","Karachi Airport","Year: ","2018","Month: ","09"
"Weather station: ","417800","ICAO","OPKC","Latitude: ","24.9","Longitude: ","67.13","Altitude: ","21"
"Day","T","TM","Tm","SLP","H","PP","VV","V","VM","VG","RA","SN","TS","FG"
"","Average Temperature","Maximum temperature","Minimum temperature","Atmospheric pressure at sea level","Average relative humidity","Total rainfall and / or snowmelt","Average visibility","Average wind speed","Maximum sustained wind speed","Maximum speed of wind","Indicate if there was rain or drizzle (In the monthly average, total days it rained)","Snow indicator (In the monthly average, total days that snowed)","Indicates whether there storm (In the monthly average, Total days with thunderstorm)","Indicates whether there was fog (In the monthly average, Total days with fog)"
"2018-09-01","27.8","31","26","-","72","0","4.8","16.1","24.1","-","o","","",""
"2018-09-02","27.9","31","26","-","69","0","5.6","19.3","35.2","-","","","",""
"2018-09-03","28.1","31.5","26","-","68","0","5.8","18","29.4","-","","","",""
"2018-09-04","28","31","26","-","65","0","5.6","24.4","37","-","","","",""
"2018-09-05","28.1","31.5","26","-","63","0","5.8","23","37","-","","","",""
"2018-09-06","28.1","31","26","-","63","0","6.1","21.5","37","-","","","",""
"2018-09-07","27.8","31.5","26","-","65","0","6.1","16.9","33.5","-","","","",""
"2018-09-08","28.4","32","22","-","68","0","5.6","16.7","25.9","-","","","",""
"2018-09-09","28.6","33","26","-","67","0","6.1","17.4","27.8","-","","","",""
"2018-09-10","28.6","32","26","-","66","0","6.4","21.5","35.2","-","","","",""
"2018-09-11","28.1","31","27","-","69","0","6.1","20","33.5","-","","","",""
"2018-09-12","27.6","30","26","-","72","0","6.1","24.8","33.5","-","","","",""
"2018-09-13","28.1","31","26","-","68","0","5.8","18.5","31.7","-","o","","",""
"2018-09-14","28","30","26","-","73","0","5.8","15.6","25.9","-","","","",""
"2018-09-15","28.8","32","26","-","65","0","5.3","16.3","25.9","-","","","",""
"2018-09-16","29","33","25.5","-","63","0","6.3","15.2","25.9","-","","","",""
"2018-09-17","27.5","32.5","26","-","70","0","5","18.9","22.2","-","","","",""
"2018-09-18","27.7","31","26","-","66","0","6","16.3","27.8","-","","","",""
"2018-09-19","28.1","32","25","-","66","0","6","16.3","25.9","-","","","",""
"2018-09-20","27.6","32.2","25","1007.3","69","0","6","13.7","21.9","-","","","",""
"2018-09-21","28.8","34","25","-","65","0","6.6","13.1","18.3","-","","","",""
"2018-09-22","31.3","40","25","-","49","0","6","12.2","35.2","-","","","",""
"2018-09-23","30","35","27","-","64","0","5.6","9.3","25.9","-","","","",""
"2018-09-24","27.1","27.5","27","-","84","0","5.3","11.1","16.5","-","","","",""
"2018-09-25","28.7","33","26","-","71","0","6","16.3","25.9","-","","","",""
"2018-09-26","28.5","33","26","-","69","0","6.3","15.4","27.8","-","","","",""
"2018-09-27","29","33","25.5","-","68","0","5.6","15.4","27.8","-","","","",""
"2018-09-28","29.1","34","26","-","67","0","5.6","16.1","24.1","-","","","",""
"2018-09-29","28.9","33","26","-","70","0","5.8","13.7","24.1","-","","","",""
"2018-09-30","29.1","35","25","-","65","0","6","13.7","27.8","-","","","",""
