country,iso_alpha3,name_1,name_2,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,pm_2019
Pakistan,PAK,Azad Kashmir,,10,15,5394006,30.65,29.85,35.68,32.150002,34.139999,29.08,30.530001,26.17,27.74,30.01,33.310001,29.57,30.65,31.91,37.560001,35.950001,31.790001,31.09,40.779999,34.349998,38.759998,31.26
Pakistan,PAK,Balochistan,Awaran,10,15,169752,24.91,22.809999,13.73,22.559999,34.380001,17.76,28.959999,14.3,39.919998,20.309999,29.76,27.42,24.91,34.389999,35.110001,27.860001,22.9,27.629999,19.5,25.26,22.959999,41.610001
Pakistan,PAK,Balochistan,Barkhan,10,15,168262,42.169998,26.559999,28.290001,42.220001,52.970001,22.620001,30.360001,19.389999,23.93,19.75,26.440001,48.860001,42.169998,53.169998,50.52,47.119999,46.880001,55.419998,42.610001,46.759998,50.599998,58
Pakistan,PAK,Balochistan,Chagai,10,15,404736,24.049999,21.860001,15.59,23.780001,31.26,20.209999,21.25,15.78,33.900002,21.299999,27.959999,22.66,24.049999,30.059999,32.860001,25.5,20.34,26.389999,16.309999,19.030001,25.27,41.279999
Pakistan,PAK,Balochistan,Dera Bugti,10,15,118757,47.290001,34.990002,35.52,53.779999,60.84,33.139999,39.919998,28.76,36.549999,26.33,35.27,53.099998,47.290001,56.450001,56.529999,51.720001,51.119999,56.220001,48.990002,54.509998,60.849998,64.089996
Pakistan,PAK,Balochistan,Gwadar,10,15,310388,14.1,19.110001,12.42,14.15,19.200001,14.38,19.85,11.36,32.130001,14.68,18.32,21.24,14.1,27.049999,23.030001,19.08,12.57,20.1,11.88,16.84,15.21,30.209999
Pakistan,PAK,Balochistan,Harnai,10,15,89604,29.02,24.629999,21.440001,24.25,32.830002,21.58,26.610001,17.049999,28.85,17.059999,24.790001,25.719999,29.02,30.67,31.950001,25.700001,24.889999,32.68,21.780001,22.790001,30.959999,37.639999
Pakistan,PAK,Balochistan,Jaffarabad,10,15,299822,50.599998,44.509998,42.619999,43.630001,63.259998,43.599998,55.98,39.130001,54.990002,37.939999,47.610001,45.580002,50.599998,51.330002,56.84,46.580002,45.439999,54.43,40.970001,47.959999,60.779999,60.07
Pakistan,PAK,Balochistan,Jhal Magsi,10,15,96148,38.990002,31.82,29.33,32.549999,50.18,30.01,38.450001,27.879999,47.439999,27.950001,33.889999,36.360001,38.990002,38.709999,42.59,36.23,35.73,42.029999,28.83,37.009998,44.599998,52.389999
Pakistan,PAK,Balochistan,Kachhi,10,15,164590,34.470001,28.17,25.870001,28.49,43.700001,25.959999,33.419998,22.790001,39.759998,21.559999,30.77,31.15,34.470001,33.43,36.349998,30.370001,30.129999,37.299999,24.01,28.73,36.549999,44.380001
Pakistan,PAK,Balochistan,Kalat,10,15,361988,32.299999,25.82,20.27,24.219999,36.279999,24.15,29.34,16.59,35.279999,19.76,28.9,26.16,32.299999,31.139999,36.34,29.02,23.940001,31.059999,19.99,23.030001,28.780001,39.360001
Pakistan,PAK,Balochistan,Kech,10,15,554446,10.16,15.69,9.9799995,12.67,16.719999,12.17,16.84,8.4300003,30.32,12.14,12.81,18.25,10.16,26.309999,21.040001,15.61,10.24,17.49,10.75,13.83,13.19,24.76
Pakistan,PAK,Balochistan,Kharan,10,15,231754,30.93,25.26,18.67,27.700001,36.75,24.559999,30.059999,20.059999,40.860001,26.91,34.720001,26.870001,30.93,40.57,39.689999,32.849998,26.809999,33.799999,22.440001,25.43,30.18,47.139999
Pakistan,PAK,Balochistan,Khuzdar,10,15,530359,30.940001,27.98,21.200001,26.99,39.380001,23.51,31.940001,18.459999,37.130001,21.26,31.18,30.24,30.940001,32.919998,39.34,32.639999,27.76,31.540001,22.77,27.9,31.639999,40.689999
Pakistan,PAK,Balochistan,Killa Abdullah,10,15,815973,34.93,24.74,20.440001,24.879999,35.290001,26.07,31.07,18.25,35.93,22.200001,26.610001,22.32,34.93,36.650002,35.959999,29.98,22.27,34.380001,20.66,20.809999,30.360001,38.490002
Pakistan,PAK,Balochistan,Killa Saifullah,10,15,359530,29.4,20.01,19.040001,24.26,33.240002,19.709999,24.719999,15.27,24.440001,15.38,22.690001,25.559999,29.4,34.389999,33.82,28.469999,25.280001,35.419998,23.469999,23.540001,29.92,38.77
Pakistan,PAK,Balochistan,Kohlu,10,15,64021,40.48,26.559999,27.09,37.93,50.27,21.200001,29.290001,17.360001,25.049999,17.26,23.9,44.68,40.48,49.02,47.07,43.84,43.07,49.48,36.810001,42.34,47.09,55.130001
Pakistan,PAK,Balochistan,Las Bela,10,15,533407,39.419998,37,31.370001,35.57,46.720001,32.040001,40.970001,29.959999,45.240002,28,34.080002,40.450001,39.419998,44.52,49.470001,41.990002,36.91,43.290001,33.869999,42.98,42.27,57.77
Pakistan,PAK,Balochistan,Lehri,10,15,71358,37.009998,31.370001,28.9,32.5,49.599998,28.73,36.919998,26.360001,42.57,24.040001,33.560001,35.209999,37.009998,36.5,39.009998,33.82,33.599998,41.259998,27.6,33.259998,42.610001,48.540001
Pakistan,PAK,Balochistan,Loralai,10,15,426205,31.799999,22.620001,21.780001,28.34,39.66,20.27,27.5,15.99,25.99,15.97,23.950001,31.25,31.799999,36.93,36.419998,30.99,29.76,38.630001,26.139999,29.48,35.220001,44.560001
Pakistan,PAK,Balochistan,Mastung,10,15,363080,37.5,25.93,20.59,26.290001,36.490002,27.719999,29.98,18.18,35.630001,20.799999,29.24,26.83,37.5,34.720001,37.810001,30.620001,24.32,33.810001,21.809999,22.02,31.35,39.200001
Pakistan,PAK,Balochistan,Musakhel,10,15,94401,35.990002,25.84,26.549999,37.619999,44.740002,20.91,26.559999,18.1,21.93,18.110001,23.66,41.290001,35.990002,47.639999,45.919998,40.349998,41.27,50.049999,37.689999,41.82,43.349998,50.279999
Pakistan,PAK,Balochistan,Nasirabad,10,15,220701,47.849998,42.810001,39.299999,40.490002,60.830002,41.299999,52.639999,36.68,52.73,35.380001,45.540001,42.57,47.849998,47.130001,51.18,42.650002,41.549999,50.52,37.599998,44.470001,56.970001,56.73
Pakistan,PAK,Balochistan,Nushki,10,15,231134,32.459999,24.75,17.690001,26.84,36.650002,22.6,28.639999,17.690001,35.75,23.41,29.51,23.73,32.459999,34.970001,39.360001,30.030001,22.48,32.77,19.25,20.440001,28.389999,41.380001
Pakistan,PAK,Balochistan,Panjgur,10,15,232878,19.07,20.209999,13.81,19.549999,27.42,16.9,22.309999,11.91,34.360001,20.030001,21.24,24.190001,19.07,30.67,28.940001,19.65,15.38,22.690001,14.29,18.610001,19.629999,35.16
Pakistan,PAK,Balochistan,Pishin,10,15,625051,35.810001,23.85,20.450001,25.43,34.029999,26.65,30.120001,18.24,32.75,20.610001,26.459999,24.15,35.810001,35.259998,34.619999,30.280001,23.629999,34.990002,22.030001,21.549999,32.25,38.310001
Pakistan,PAK,Balochistan,Quetta,10,15,2045152,38.709999,26.120001,21.360001,27.25,35.360001,29.219999,31.57,19.790001,34.52,22.25,29.75,27.99,38.709999,36.41,38.240002,31.379999,26.01,35.389999,23.25,23.059999,33.540001,39.810001
Pakistan,PAK,Balochistan,Sheerani,10,15,70086,33.509998,23.68,24.24,34.34,40.77,19.440001,23.219999,16.35,20.77,16.43,22.450001,36.790001,33.509998,44.41,43.740002,37.18,36.560001,45.09,33.470001,36.220001,39.540001,46.299999
Pakistan,PAK,Balochistan,Sibi,10,15,160456,32,28.219999,26.709999,28.540001,43.209999,26.290001,34.080002,22.299999,36.459999,20.67,29.24,29.23,32,31.860001,33.91,28.76,28.67,36.98,23.9,27.540001,36.790001,41.830002
Pakistan,PAK,Balochistan,Sohbatpur,10,15,80593,55.169998,43.439999,42.360001,51.049999,66.559998,45.040001,57.34,40.25,53.849998,38.919998,51.639999,51.23,55.169998,57.130001,60.779999,51.34,50.790001,60.880001,47.830002,56.02,68.029999,63.889999
Pakistan,PAK,Balochistan,Washuk,10,15,99194,22.969999,22.049999,16.57,22.59,31.389999,19.76,24.190001,14.73,34.59,22.01,27.120001,24.74,22.969999,32.459999,32.880001,24.67,19.629999,25.030001,16.950001,21.02,23.870001,39.080002
Pakistan,PAK,Balochistan,Zhob,10,15,298203,32.360001,19.209999,20.219999,30.559999,40.279999,16.17,19.969999,13.36,19.17,13.81,19.65,34.689999,32.360001,43.220001,42.939999,36.240002,35.82,45.25,30.51,32.669998,35.259998,44.25
Pakistan,PAK,Balochistan,Ziarat,10,15,132600,29.58,22.26,20.129999,23.68,31.6,21.18,25.67,16.51,26.440001,16.360001,24.129999,25.610001,29.58,32.75,31.26,26.66,24.709999,32.720001,22.52,22.57,29.75,38.439999
Pakistan,PAK,Federal Capital Territory,Islamabad,10,15,2843239,43.52,38.16,45.73,48.09,46.459999,40.759998,41.639999,37.060001,38.959999,41.889999,44.810001,40.02,43.52,45.18,52.779999,51.919998,47.630001,44.560001,55.990002,47.470001,54.150002,42.049999
Pakistan,PAK,Gilgit-Baltistan,,10,15,1102572,18.059999,21.98,23.559999,15.4,17.709999,20.559999,21.969999,18.969999,20.15,20.389999,23.4,18.34,18.059999,17.940001,19.200001,18.6,16.700001,17.219999,16.93,18.059999,21.040001,18.120001
Pakistan,PAK,Khyber Pakhtunkhwa,Abbottabad,10,15,1852594,27.440001,32.16,35.57,31.549999,32.66,26.969999,28.889999,25.059999,25.91,28.799999,30.809999,27.65,27.440001,30.5,37.369999,33.490002,30.24,30.48,38.189999,33.459999,37.630001,30.780001
Pakistan,PAK,Khyber Pakhtunkhwa,Bajaur,10,15,1031502,23.049999,34.59,41.779999,27.26,29.280001,22.65,25.959999,22.84,23.690001,25.1,26.030001,24.360001,23.049999,27.99,30.9,30.59,28.280001,28.379999,29.77,28.780001,34.209999,28.530001
Pakistan,PAK,Khyber Pakhtunkhwa,Bannu,10,15,1062629,36.139999,35.689999,40.630001,44.48,43.459999,29.67,34.759998,28.440001,28.25,30.299999,33.360001,35.130001,36.139999,42.34,39.349998,42.650002,41.16,44.34,43.27,42.98,47.450001,41.48
Pakistan,PAK,Khyber Pakhtunkhwa,Batagram,10,15,436123,24.940001,32.59,38.200001,27.99,29.34,26.41,28.23,25.26,26.68,27.059999,29.57,26.91,24.940001,28.35,34.669998,31.549999,28.52,28.43,31.85,31.700001,34.139999,29.43
Pakistan,PAK,Khyber Pakhtunkhwa,Buner,10,15,711817,28.1,32.810001,38.580002,31.950001,33.34,28.360001,31.040001,26.610001,27.58,29.940001,32.470001,28.4,28.1,30.41,38.32,36.130001,33.310001,32.259998,38.470001,35.709999,39.369999,31.23
Pakistan,PAK,Khyber Pakhtunkhwa,Charsadda,10,15,1832217,36.330002,37.560001,44.650002,37.369999,39.57,36.490002,38.540001,33.779999,33.59,37.599998,38.939999,33.380001,36.330002,39.619999,45.16,46.57,42.049999,40.5,44.490002,40.66,48.650002,37.91
Pakistan,PAK,Khyber Pakhtunkhwa,Chitral,10,15,403202,21.040001,25.48,30.68,21.860001,23.09,24.76,24.969999,23.059999,27.07,23.549999,27.950001,24.200001,21.040001,28.84,25.82,28.469999,23.98,24.540001,22.709999,23.780001,27.4,25.41
Pakistan,PAK,Khyber Pakhtunkhwa,Dera Ismail Khan,10,15,2033609,37.700001,35.529999,42.119999,48.27,45.759998,31.49,36.669998,28.440001,31.09,31.24,34.779999,39.669998,37.700001,42.119999,42.990002,44.16,41.830002,45.439999,47.849998,44.349998,51.290001,44.369999
Pakistan,PAK,Khyber Pakhtunkhwa,FR Bannu,10,15,39562,34.599998,34.869999,36.970001,45.529999,43.189999,25.68,29.129999,24.66,24.549999,25.889999,28.200001,35.639999,34.599998,41.75,37.73,42.16,40.540001,42.5,42.650002,42.639999,46.490002,41.43
Pakistan,PAK,Khyber Pakhtunkhwa,FR Dera Ismail Khan,10,15,96203,35.110001,31.57,31.51,41.439999,41.09,24.93,29.18,21.91,24.76,22.25,26.82,39.27,35.110001,44.779999,44.189999,39.93,39.98,47.389999,39.84,43.02,46.450001,46.810001
Pakistan,PAK,Khyber Pakhtunkhwa,FR Kohat,10,15,153093,30.23,32.549999,36.950001,37.279999,36.560001,28.190001,28.99,24.85,25.68,27.23,28.83,29.309999,30.23,35.240002,37.970001,40.529999,36.650002,35.049999,40.279999,37.459999,43.970001,34.470001
Pakistan,PAK,Khyber Pakhtunkhwa,FR Lakki Marwat,10,15,18613,33.02,30.43,33.830002,41.110001,40.939999,22.559999,28.530001,21.620001,23.190001,22.49,25.08,33.82,33.02,39.490002,37.040001,38.560001,36.09,41.459999,37.43,39.700001,43.310001,41.220001
Pakistan,PAK,Khyber Pakhtunkhwa,FR Peshawar,10,15,97286,31.879999,32.389999,37.799999,39.18,38.220001,30.049999,31.629999,26.639999,27.68,29.559999,30.82,30.790001,31.879999,36.490002,40.52,43.139999,38.23,36.380001,43.759998,39.27,44.889999,34.59
Pakistan,PAK,Khyber Pakhtunkhwa,FR Tank,10,15,62596,33.830002,30.709999,33.049999,42.630001,41.48,22.57,27.9,21.42,23.780001,22.99,25.690001,35.610001,33.830002,41.5,38.98,38.98,38.049999,42.669998,38.84,41.279999,45.450001,42.459999
Pakistan,PAK,Khyber Pakhtunkhwa,Hangu,10,15,636755,31.440001,31.879999,37.02,39.029999,40.560001,26.030001,29.530001,25.469999,25.91,27.33,29.6,31.809999,31.440001,38.200001,35.509998,37.98,35.990002,37.82,38.459999,39.139999,43.150002,37.82
Pakistan,PAK,Khyber Pakhtunkhwa,Haripur,10,15,1419557,35.049999,34.5,40.200001,39.299999,40.279999,34.900002,37.040001,31.17,33.599998,35.91,38.669998,33.02,35.049999,37.490002,43.490002,43.610001,40.259998,38.34,47.299999,40.880001,47.130001,36.439999
Pakistan,PAK,Khyber Pakhtunkhwa,Karak,10,15,908448,31.5,32.790001,38.790001,42.740002,41.130001,25.969999,29.9,24.76,25.469999,26.809999,29.02,32.290001,31.5,38.889999,36.860001,40.049999,39.23,39.240002,41.43,39.970001,44.470001,38.110001
Pakistan,PAK,Khyber Pakhtunkhwa,Khyber,10,15,1175078,30.129999,33.349998,38.200001,33.740002,35.18,28.34,30.48,26.48,26.83,29.01,30.469999,29.379999,30.129999,36.080002,35.84,38.580002,35.099998,35.98,38.380001,35.720001,43.110001,36.360001
Pakistan,PAK,Khyber Pakhtunkhwa,Kohat,10,15,1357969,33,33.240002,40.029999,41.43,41.110001,30.57,32.07,27.6,28.92,29.98,32.41,32.57,33,39.360001,40.48,43.869999,40.639999,39.029999,44.59,42.259998,47.52,37.59
Pakistan,PAK,Khyber Pakhtunkhwa,Kohistan,10,15,128387,25.24,31.450001,36.939999,27.08,28.91,27.969999,28.92,26.690001,28.68,27.75,31.450001,28.85,25.24,31.280001,33.689999,33.080002,28.459999,29.01,29.889999,30.08,33.959999,30.110001
Pakistan,PAK,Khyber Pakhtunkhwa,Kurram,10,15,475764,30.66,27.299999,32.549999,35.43,36.91,22.67,23.559999,20.76,22.16,21.799999,24.49,32.450001,30.66,39.48,35.720001,38.490002,33.259998,39.259998,34.110001,35.689999,42.220001,39
Pakistan,PAK,Khyber Pakhtunkhwa,Lakki Marwat,10,15,1308969,34.040001,34.509998,41.549999,44.02,41.889999,27.4,33,25.74,27.440001,28.030001,30.76,34.41,34.040001,39.830002,38.279999,40.900002,39.299999,42.93,42.639999,40.849998,46.240002,40.720001
