date,high,low,Months,Year,City,datee
1,24°,3°,January,2020,Islamabad,01-Jan-20
2,17°,5°,January,2020,Islamabad,02-Jan-20
3,15°,6°,January,2020,Islamabad,03-Jan-20
4,17°,6°,January,2020,Islamabad,04-Jan-20
5,12°,4°,January,2020,Islamabad,05-Jan-20
6,10°,4°,January,2020,Islamabad,06-Jan-20
7,11°,7°,January,2020,Islamabad,07-Jan-20
8,8°,5°,January,2020,Islamabad,08-Jan-20
9,16°,2°,January,2020,Islamabad,09-Jan-20
10,17°,3°,January,2020,Islamabad,10-Jan-20
11,13°,4°,January,2020,Islamabad,11-Jan-20
12,14°,7°,January,2020,Islamabad,12-Jan-20
13,11°,8°,January,2020,Islamabad,13-Jan-20
14,14°,5°,January,2020,Islamabad,14-Jan-20
15,15°,5°,January,2020,Islamabad,15-Jan-20
16,19°,5°,January,2020,Islamabad,16-Jan-20
17,18°,6°,January,2020,Islamabad,17-Jan-20
18,17°,6°,January,2020,Islamabad,18-Jan-20
19,16°,3°,January,2020,Islamabad,19-Jan-20
20,17°,7°,January,2020,Islamabad,20-Jan-20
21,11°,6°,January,2020,Islamabad,21-Jan-20
22,30°,4°,January,2020,Islamabad,22-Jan-20
23,18°,3°,January,2020,Islamabad,23-Jan-20
24,19°,3°,January,2020,Islamabad,24-Jan-20
25,16°,4°,January,2020,Islamabad,25-Jan-20
26,21°,4°,January,2020,Islamabad,26-Jan-20
27,18°,4°,January,2020,Islamabad,27-Jan-20
28,11°,5°,January,2020,Islamabad,28-Jan-20
29,12°,8°,January,2020,Islamabad,29-Jan-20
30,17°,5°,January,2020,Islamabad,30-Jan-20
31,18°,5°,January,2020,Islamabad,31-Jan-20
1,19°,6°,February,2020,Islamabad,01-Feb-20
2,18°,7°,February,2020,Islamabad,02-Feb-20
3,20°,4°,February,2020,Islamabad,03-Feb-20
4,15°,5°,February,2020,Islamabad,04-Feb-20
5,18°,3°,February,2020,Islamabad,05-Feb-20
6,17°,3°,February,2020,Islamabad,06-Feb-20
7,19°,4°,February,2020,Islamabad,07-Feb-20
8,20°,4°,February,2020,Islamabad,08-Feb-20
9,20°,4°,February,2020,Islamabad,09-Feb-20
10,22°,5°,February,2020,Islamabad,10-Feb-20
11,19°,9°,February,2020,Islamabad,11-Feb-20
12,19°,12°,February,2020,Islamabad,12-Feb-20
13,22°,11°,February,2020,Islamabad,13-Feb-20
14,23°,12°,February,2020,Islamabad,14-Feb-20
15,23°,10°,February,2020,Islamabad,15-Feb-20
16,24°,9°,February,2020,Islamabad,16-Feb-20
17,25°,8°,February,2020,Islamabad,17-Feb-20
18,27°,7°,February,2020,Islamabad,18-Feb-20
19,21°,11°,February,2020,Islamabad,19-Feb-20
20,18°,11°,February,2020,Islamabad,20-Feb-20
21,22°,8°,February,2020,Islamabad,21-Feb-20
22,22°,9°,February,2020,Islamabad,22-Feb-20
23,25°,9°,February,2020,Islamabad,23-Feb-20
24,25°,10°,February,2020,Islamabad,24-Feb-20
25,25°,10°,February,2020,Islamabad,25-Feb-20
26,26°,10°,February,2020,Islamabad,26-Feb-20
27,26°,11°,February,2020,Islamabad,27-Feb-20
28,19°,13°,February,2020,Islamabad,28-Feb-20
29,16°,10°,February,2020,Islamabad,29-Feb-20
1,23°,10°,March,2020,Islamabad,01-Mar-20
2,25°,10°,March,2020,Islamabad,02-Mar-20
3,25°,11°,March,2020,Islamabad,03-Mar-20
4,22°,12°,March,2020,Islamabad,04-Mar-20
5,14°,12°,March,2020,Islamabad,05-Mar-20
6,15°,11°,March,2020,Islamabad,06-Mar-20
7,14°,10°,March,2020,Islamabad,07-Mar-20
