date,high,low,Month,Year,City,
1,11°,2°,January,2020,Lahore,01-Jan-20
2,17°,4°,January,2020,Lahore,02-Jan-20
3,20°,6°,January,2020,Lahore,03-Jan-20
4,16°,5°,January,2020,Lahore,04-Jan-20
5,15°,6°,January,2020,Lahore,05-Jan-20
6,10°,8°,January,2020,Lahore,06-Jan-20
7,11°,9°,January,2020,Lahore,07-Jan-20
8,12°,7°,January,2020,Lahore,08-Jan-20
9,15°,6°,January,2020,Lahore,09-Jan-20
10,17°,4°,January,2020,Lahore,10-Jan-20
11,18°,7°,January,2020,Lahore,11-Jan-20
12,19°,11°,January,2020,Lahore,12-Jan-20
13,12°,8°,January,2020,Lahore,13-Jan-20
14,13°,7°,January,2020,Lahore,14-Jan-20
15,14°,5°,January,2020,Lahore,15-Jan-20
16,16°,5°,January,2020,Lahore,16-Jan-20
17,16°,6°,January,2020,Lahore,17-Jan-20
18,15°,4°,January,2020,Lahore,18-Jan-20
19,17°,6°,January,2020,Lahore,19-Jan-20
20,19°,7°,January,2020,Lahore,20-Jan-20
21,17°,10°,January,2020,Lahore,21-Jan-20
22,18°,8°,January,2020,Lahore,22-Jan-20
23,18°,7°,January,2020,Lahore,23-Jan-20
24,20°,6°,January,2020,Lahore,24-Jan-20
25,19°,9°,January,2020,Lahore,25-Jan-20
26,21°,6°,January,2020,Lahore,26-Jan-20
27,19°,8°,January,2020,Lahore,27-Jan-20
28,13°,10°,January,2020,Lahore,28-Jan-20
29,16°,9°,January,2020,Lahore,29-Jan-20
30,16°,7°,January,2020,Lahore,30-Jan-20
31,19°,6°,January,2020,Lahore,31-Jan-20
1,16°,7°,February,2020,Lahore,01-Feb-20
2,19°,7°,February,2020,Lahore,02-Feb-20
3,21°,6°,February,2020,Lahore,03-Feb-20
4,16°,6°,February,2020,Lahore,04-Feb-20
5,19°,6°,February,2020,Lahore,05-Feb-20
6,20°,7°,February,2020,Lahore,06-Feb-20
7,20°,7°,February,2020,Lahore,07-Feb-20
8,19°,7°,February,2020,Lahore,08-Feb-20
