date,high,low,Month,Year,City,DATEE
1,20°,1°,January,2020,Karachi,01-Jan-20
2,23°,10°,January,2020,Karachi,02-Jan-20
3,25°,11°,January,2020,Karachi,03-Jan-20
4,25°,13°,January,2020,Karachi,04-Jan-20
5,26°,14°,January,2020,Karachi,05-Jan-20
6,26°,14°,January,2020,Karachi,06-Jan-20
7,21°,12°,January,2020,Karachi,07-Jan-20
8,24°,10°,January,2020,Karachi,08-Jan-20
9,23°,8°,January,2020,Karachi,09-Jan-20
10,22°,10°,January,2020,Karachi,10-Jan-20
11,24°,12°,January,2020,Karachi,11-Jan-20
12,24°,14°,January,2020,Karachi,12-Jan-20
13,23°,12°,January,2020,Karachi,13-Jan-20
14,23°,8°,January,2020,Karachi,14-Jan-20
15,22°,10°,January,2020,Karachi,15-Jan-20
16,24°,9°,January,2020,Karachi,16-Jan-20
17,24°,10°,January,2020,Karachi,17-Jan-20
18,24°,8°,January,2020,Karachi,18-Jan-20
19,24°,10°,January,2020,Karachi,19-Jan-20
20,26°,12°,January,2020,Karachi,20-Jan-20
21,26°,10°,January,2020,Karachi,21-Jan-20
22,24°,16°,January,2020,Karachi,22-Jan-20
23,25°,14°,January,2020,Karachi,23-Jan-20
24,28°,11°,January,2020,Karachi,24-Jan-20
25,28°,12°,January,2020,Karachi,25-Jan-20
26,28°,13°,January,2020,Karachi,26-Jan-20
27,26°,15°,January,2020,Karachi,27-Jan-20
28,25°,14°,January,2020,Karachi,28-Jan-20
29,25°,12°,January,2020,Karachi,29-Jan-20
30,25°,10°,January,2020,Karachi,30-Jan-20
31,26°,10°,January,2020,Karachi,31-Jan-20
1,27°,13°,February,2020,Karachi,01-Feb-20
2,27°,13°,February,2020,Karachi,02-Feb-20
3,27°,12°,February,2020,Karachi,03-Feb-20
4,28°,13°,February,2020,Karachi,04-Feb-20
5,25°,16°,February,2020,Karachi,05-Feb-20
6,27°,11°,February,2020,Karachi,06-Feb-20
7,27°,12°,February,2020,Karachi,07-Feb-20
8,28°,13°,February,2020,Karachi,08-Feb-20
9,27°,12°,February,2020,Karachi,09-Feb-20
10,29°,14°,February,2020,Karachi,10-Feb-20
