date,high,low,Monthly
1,34°,24°,April
2,37°,22°,April
3,39°,22°,April
4,39°,22°,April
5,36°,24°,April
6,36°,23°,April
7,37°,24°,April
8,35°,23°,April
9,34°,24°,April
10,36°,23°,April
11,40°,28°,April
12,41°,24°,April
13,38°,25°,April
14,35°,25°,April
15,35°,27°,April
16,34°,26°,April
17,38°,27°,April
18,35°,25°,April
19,35°,25°,April
20,34°,27°,April
21,35°,27°,April
22,38°,26°,April
23,37°,27°,April
24,35°,26°,April
25,35°,27°,April
26,35°,27°,April
27,36°,26°,April
28,37°,26°,April
29,37°,26°,April
30,38°,26°,April
