date,high,low,Month
1,36°,29°,June
2,36°,29°,June
3,37°,29°,June
4,38°,27°,June
5,37°,29°,June
6,37°,30°,June
7,37°,30°,June
8,37°,31°,June
9,37°,31°,June
10,37°,30°,June
11,37°,31°,June
12,37°,30°,June
13,37°,30°,June
14,38°,30°,June
15,39°,30°,June
16,38°,30°,June
17,38°,29°,June
18,37°,30°,June
19,37°,31°,June
20,38°,31°,June
21,37°,30°,June
22,38°,31°,June
23,39°,32°,June
24,39°,31°,June
25,38°,31°,June
26,37°,31°,June
27,37°,31°,June
28,37°,31°,June
29,36°,30°,June
30,38°,30°,June
