date,low,High,Month
1,25°,36°,May
2,25°,36°,May
3,25°,36°,May
4,25°,36°,May
5,25°,36°,May
6,26°,36°,May
7,26°,36°,May
8,26°,36°,May
9,26°,36°,May
10,26°,36°,May
11,26°,36°,May
12,26°,36°,May
13,26°,36°,May
14,26°,36°,May
15,26°,36°,May
16,26°,36°,May
17,26°,36°,May
18,26°,36°,May
19,27°,36°,May
20,27°,36°,May
21,27°,36°,May
22,27°,36°,May
23,27°,36°,May
24,27°,36°,May
25,27°,36°,May
26,27°,36°,May
27,27°,36°,May
28,27°,36°,May
29,27°,36°,May
30,28°,36°,May
31,28°,36°,May
