date,high,low,Month,Year,City,
1,25°,12°,January,2022,Karachi,01-Jan-2022
2,24°,11°,January,2022,Karachi,02-Jan-2022
3,24°,11°,January,2022,Karachi,03-Jan-2022
4,25°,12°,January,2022,Karachi,04-Jan-2022
5,24°,11°,January,2022,Karachi,05-Jan-2022
6,24°,12°,January,2022,Karachi,06-Jan-2022
7,25°,12°,January,2022,Karachi,07-Jan-2022
8,25°,11°,January,2022,Karachi,08-Jan-2022
9,29°,13°,January,2022,Karachi,09-Jan-2022
10,28°,12°,January,2022,Karachi,10-Jan-2022
11,28°,11°,January,2022,Karachi,11-Jan-2022
12,28°,12°,January,2022,Karachi,12-Jan-2022
13,27°,13°,January,2022,Karachi,13-Jan-2022
14,28°,12°,January,2022,Karachi,14-Jan-2022
15,28°,12°,January,2022,Karachi,15-Jan-2022
16,27°,11°,January,2022,Karachi,16-Jan-2022
17,26°,12°,January,2022,Karachi,17-Jan-2022
18,27°,9°,January,2022,Karachi,18-Jan-2022
19,25°,9°,January,2022,Karachi,19-Jan-2022
20,25°,12°,January,2022,Karachi,20-Jan-2022
21,26°,11°,January,2022,Karachi,21-Jan-2022
22,27°,10°,January,2022,Karachi,22-Jan-2022
23,26°,10°,January,2022,Karachi,23-Jan-2022
24,25°,11°,January,2022,Karachi,24-Jan-2022
25,25°,10°,January,2022,Karachi,25-Jan-2022
26,25°,10°,January,2022,Karachi,26-Jan-2022
27,26°,11°,January,2022,Karachi,27-Jan-2022
28,26°,12°,January,2022,Karachi,28-Jan-2022
29,27°,13°,January,2022,Karachi,29-Jan-2022
30,28°,13°,January,2022,Karachi,30-Jan-2022
31,28°,13°,January,2022,Karachi,31-Jan-2022
1,29°,13°,February,2022,Karachi,01-Feb-2022
2,29°,14°,February,2022,Karachi,02-Feb-2022
3,28°,14°,February,2022,Karachi,03-Feb-2022
4,29°,15°,February,2022,Karachi,04-Feb-2022
5,29°,12°,February,2022,Karachi,05-Feb-2022
6,27°,10°,February,2022,Karachi,06-Feb-2022
7,26°,10°,February,2022,Karachi,07-Feb-2022
8,27°,10°,February,2022,Karachi,08-Feb-2022
9,26°,11°,February,2022,Karachi,09-Feb-2022
10,27°,11°,February,2022,Karachi,10-Feb-2022
11,27°,12°,February,2022,Karachi,11-Feb-2022
12,27°,12°,February,2022,Karachi,12-Feb-2022
13,28°,14°,February,2022,Karachi,13-Feb-2022
14,29°,15°,February,2022,Karachi,14-Feb-2022
15,30°,15°,February,2022,Karachi,15-Feb-2022
16,31°,14°,February,2022,Karachi,16-Feb-2022
17,31°,16°,February,2022,Karachi,17-Feb-2022
18,30°,16°,February,2022,Karachi,18-Feb-2022
19,30°,15°,February,2022,Karachi,19-Feb-2022
20,28°,14°,February,2022,Karachi,20-Feb-2022
21,28°,15°,February,2022,Karachi,21-Feb-2022
22,28°,15°,February,2022,Karachi,22-Feb-2022
23,29°,14°,February,2022,Karachi,23-Feb-2022
24,31°,16°,February,2022,Karachi,24-Feb-2022
25,31°,16°,February,2022,Karachi,25-Feb-2022
26,31°,17°,February,2022,Karachi,26-Feb-2022
27,31°,17°,February,2022,Karachi,27-Feb-2022
28,31°,17°,February,2022,Karachi,28-Feb-2022
1,31°,17°,March,2022,Karachi,01-Mar-2022
2,30°,16°,March,2022,Karachi,02-Mar-2022
3,31°,17°,March,2022,Karachi,03-Mar-2022
4,32°,17°,March,2022,Karachi,04-Mar-2022
5,32°,17°,March,2022,Karachi,05-Mar-2022
6,31°,18°,March,2022,Karachi,06-Mar-2022
7,31°,17°,March,2022,Karachi,07-Mar-2022
8,29°,17°,March,2022,Karachi,08-Mar-2022
9,30°,16°,March,2022,Karachi,09-Mar-2022
10,31°,17°,March,2022,Karachi,10-Mar-2022
11,32°,17°,March,2022,Karachi,11-Mar-2022
12,32°,18°,March,2022,Karachi,12-Mar-2022
13,33°,19°,March,2022,Karachi,13-Mar-2022
14,27°,14°,March,2022,Karachi,14-Mar-2022
15,27°,14°,March,2022,Karachi,15-Mar-2022
16,27°,15°,March,2022,Karachi,16-Mar-2022
17,27°,15°,March,2022,Karachi,17-Mar-2022
18,27°,15°,March,2022,Karachi,18-Mar-2022
19,28°,16°,March,2022,Karachi,19-Mar-2022
20,28°,16°,March,2022,Karachi,20-Mar-2022
21,28°,16°,March,2022,Karachi,21-Mar-2022
22,28°,16°,March,2022,Karachi,22-Mar-2022
23,29°,17°,March,2022,Karachi,23-Mar-2022
24,29°,17°,March,2022,Karachi,24-Mar-2022
25,29°,17°,March,2022,Karachi,25-Mar-2022
26,30°,18°,March,2022,Karachi,26-Mar-2022
27,30°,18°,March,2022,Karachi,27-Mar-2022
28,30°,18°,March,2022,Karachi,28-Mar-2022
29,31°,18°,March,2022,Karachi,29-Mar-2022
30,31°,19°,March,2022,Karachi,30-Mar-2022
31,31°,19°,March,2022,Karachi,31-Mar-2022
1,31°,19°,April,2022,Karachi,01-Apr-2022
2,32°,20°,April,2022,Karachi,02-Apr-2022
3,32°,20°,April,2022,Karachi,03-Apr-2022
4,32°,20°,April,2022,Karachi,04-Apr-2022
5,32°,21°,April,2022,Karachi,05-Apr-2022
6,33°,21°,April,2022,Karachi,06-Apr-2022
7,33°,21°,April,2022,Karachi,07-Apr-2022
8,33°,21°,April,2022,Karachi,08-Apr-2022
9,33°,22°,April,2022,Karachi,09-Apr-2022
10,34°,22°,April,2022,Karachi,10-Apr-2022
11,34°,22°,April,2022,Karachi,11-Apr-2022
12,34°,22°,April,2022,Karachi,12-Apr-2022
13,34°,23°,April,2022,Karachi,13-Apr-2022
14,34°,23°,April,2022,Karachi,14-Apr-2022
15,35°,23°,April,2022,Karachi,15-Apr-2022
16,35°,23°,April,2022,Karachi,16-Apr-2022
17,35°,23°,April,2022,Karachi,17-Apr-2022
18,35°,24°,April,2022,Karachi,18-Apr-2022
19,35°,24°,April,2022,Karachi,19-Apr-2022
20,35°,24°,April,2022,Karachi,20-Apr-2022
21,35°,24°,April,2022,Karachi,21-Apr-2022
22,35°,24°,April,2022,Karachi,22-Apr-2022
23,36°,24°,April,2022,Karachi,23-Apr-2022
24,36°,24°,April,2022,Karachi,24-Apr-2022
25,36°,25°,April,2022,Karachi,25-Apr-2022
26,36°,25°,April,2022,Karachi,26-Apr-2022
27,36°,25°,April,2022,Karachi,27-Apr-2022
28,36°,25°,April,2022,Karachi,28-Apr-2022
29,36°,25°,April,2022,Karachi,29-Apr-2022
30,36°,25°,April,2022,Karachi,30-Apr-2022
1,36°,25°,May,2022,Karachi,01-May-2022
2,36°,25°,May,2022,Karachi,02-May-2022
3,36°,25°,May,2022,Karachi,03-May-2022
4,36°,25°,May,2022,Karachi,04-May-2022
5,36°,25°,May,2022,Karachi,05-May-2022
6,36°,26°,May,2022,Karachi,06-May-2022
7,36°,26°,May,2022,Karachi,07-May-2022
8,36°,26°,May,2022,Karachi,08-May-2022
9,36°,26°,May,2022,Karachi,09-May-2022
10,36°,26°,May,2022,Karachi,10-May-2022
11,36°,26°,May,2022,Karachi,11-May-2022
12,36°,26°,May,2022,Karachi,12-May-2022
13,36°,26°,May,2022,Karachi,13-May-2022
14,36°,26°,May,2022,Karachi,14-May-2022
15,36°,26°,May,2022,Karachi,15-May-2022
16,36°,26°,May,2022,Karachi,16-May-2022
17,36°,26°,May,2022,Karachi,17-May-2022
18,36°,26°,May,2022,Karachi,18-May-2022
19,36°,27°,May,2022,Karachi,19-May-2022
20,36°,27°,May,2022,Karachi,20-May-2022
21,36°,27°,May,2022,Karachi,21-May-2022
22,36°,27°,May,2022,Karachi,22-May-2022
23,36°,27°,May,2022,Karachi,23-May-2022
24,36°,27°,May,2022,Karachi,24-May-2022
25,36°,27°,May,2022,Karachi,25-May-2022
26,36°,27°,May,2022,Karachi,26-May-2022
27,36°,27°,May,2022,Karachi,27-May-2022
28,36°,27°,May,2022,Karachi,28-May-2022
29,36°,27°,May,2022,Karachi,29-May-2022
30,36°,28°,May,2022,Karachi,30-May-2022
31,36°,28°,May,2022,Karachi,31-May-2022
1,36°,28°,June,2022,Karachi,01-Jun-2022
2,36°,28°,June,2022,Karachi,02-Jun-2022
3,36°,28°,June,2022,Karachi,03-Jun-2022
4,36°,28°,June,2022,Karachi,04-Jun-2022
5,36°,28°,June,2022,Karachi,05-Jun-2022
6,36°,28°,June,2022,Karachi,06-Jun-2022
7,36°,28°,June,2022,Karachi,07-Jun-2022
8,36°,28°,June,2022,Karachi,08-Jun-2022
9,36°,28°,June,2022,Karachi,09-Jun-2022
10,36°,28°,June,2022,Karachi,10-Jun-2022
11,36°,28°,June,2022,Karachi,11-Jun-2022
12,36°,29°,June,2022,Karachi,12-Jun-2022
13,36°,29°,June,2022,Karachi,13-Jun-2022
14,36°,29°,June,2022,Karachi,14-Jun-2022
15,36°,29°,June,2022,Karachi,15-Jun-2022
16,36°,29°,June,2022,Karachi,16-Jun-2022
17,36°,29°,June,2022,Karachi,17-Jun-2022
18,35°,29°,June,2022,Karachi,18-Jun-2022
19,35°,29°,June,2022,Karachi,19-Jun-2022
20,35°,29°,June,2022,Karachi,20-Jun-2022
21,35°,29°,June,2022,Karachi,21-Jun-2022
22,35°,29°,June,2022,Karachi,22-Jun-2022
23,35°,29°,June,2022,Karachi,23-Jun-2022
24,35°,29°,June,2022,Karachi,24-Jun-2022
25,35°,29°,June,2022,Karachi,25-Jun-2022
26,35°,29°,June,2022,Karachi,26-Jun-2022
